author,authorLabel,genderLabel,orcid
https://database.factgrid.de/entity/Q989408,Julia Tolksdorf,Weibliches Geschlecht,0000-0002-0495-5897
https://database.factgrid.de/entity/Q398251,Jochen Strobel,Männliches Geschlecht,0000-0002-0511-4440
https://database.factgrid.de/entity/Q1380364,Doris Gruber,Weibliches Geschlecht,0000-0002-0512-100X
https://database.factgrid.de/entity/Q1380293,Stefan Weil,Männliches Geschlecht,0000-0002-0524-9898
https://database.factgrid.de/entity/Q989332,Julia Glas,Weibliches Geschlecht,0000-0002-0532-2653
https://database.factgrid.de/entity/Q396616,Sandra Balck,Weibliches Geschlecht,0000-0002-0573-3911
https://database.factgrid.de/entity/Q1350097,Sandra König,Weibliches Geschlecht,0000-0002-0615-0523
https://database.factgrid.de/entity/Q398196,Anna Neovesky,Weibliches Geschlecht,0000-0002-0627-8199
https://database.factgrid.de/entity/Q1380287,Libuše Hannah Vepřek,Weibliches Geschlecht,0000-0002-0672-6633
https://database.factgrid.de/entity/Q396772,Nanette Rißler-Pipka,Weibliches Geschlecht,0000-0002-0719-9003
https://database.factgrid.de/entity/Q396735,Jochen Laubrock,Männliches Geschlecht,0000-0002-0798-8977
https://database.factgrid.de/entity/Q396776,Sanja Saric,Weibliches Geschlecht,0000-0002-0802-6999
https://database.factgrid.de/entity/Q396760,Martin Roth,Männliches Geschlecht,0000-0002-0838-1034
https://database.factgrid.de/entity/Q398027,Torsten Schrade,Männliches Geschlecht,0000-0002-0953-2818
https://database.factgrid.de/entity/Q397406,Jacqueline Klusik-Eckert,Weibliches Geschlecht,0000-0002-0969-2520
https://database.factgrid.de/entity/Q396499,Simone Winko,Weibliches Geschlecht,0000-0002-1006-7925
https://database.factgrid.de/entity/Q397498,Sarah Oberbichler,Weibliches Geschlecht,0000-0002-1031-2759
https://database.factgrid.de/entity/Q398659,Frank Wiegand,Männliches Geschlecht,0000-0002-1096-3957
https://database.factgrid.de/entity/Q397923,Mathias Göbel,Männliches Geschlecht,0000-0002-1102-5284
https://database.factgrid.de/entity/Q169314,José Calvo Tello,Männliches Geschlecht,0000-0002-1129-5604
https://database.factgrid.de/entity/Q396609,Eckhart Arnold,Männliches Geschlecht,0000-0002-1138-499X
https://database.factgrid.de/entity/Q1380183,Jörn Kleinert,Männliches Geschlecht,0000-0002-1167-9245
https://database.factgrid.de/entity/Q1380238,Michael Pölzl,Männliches Geschlecht,0000-0002-1291-9220
https://database.factgrid.de/entity/Q989387,Florian Lamminger,Männliches Geschlecht,0000-0002-1310-6352
https://database.factgrid.de/entity/Q397780,Sarah Wagner,Weibliches Geschlecht,0000-0002-1352-129X
https://database.factgrid.de/entity/Q397792,Barbara Heinisch,Weibliches Geschlecht,0000-0002-1362-4088
https://database.factgrid.de/entity/Q396524,Sina Zarriess,Weibliches Geschlecht,0000-0002-1384-1218
https://database.factgrid.de/entity/Q396666,Tobias Gradl,Männliches Geschlecht,0000-0002-1392-2464
https://database.factgrid.de/entity/Q396632,Peer Trilcke,Männliches Geschlecht,0000-0002-1421-4320
https://database.factgrid.de/entity/Q397474,Jonathan Blumtritt,Männliches Geschlecht,0000-0002-1438-379X
https://database.factgrid.de/entity/Q1380401,Ursula Loosli,Weibliches Geschlecht,0000-0002-1480-315X
https://database.factgrid.de/entity/Q396797,Thomas Stäcker,Männliches Geschlecht,0000-0002-1509-6960
https://database.factgrid.de/entity/Q396701,Anne Klee,Weibliches Geschlecht,0000-0002-1532-2649
https://database.factgrid.de/entity/Q396507,Axelle Lecroq,Weibliches Geschlecht,0000-0002-1562-9966
https://database.factgrid.de/entity/Q1034413,Jörg Röpke,Männliches Geschlecht,0000-0002-1575-6105
https://database.factgrid.de/entity/Q396615,Hannes Schnaitter,Männliches Geschlecht,0000-0002-1602-6032
https://database.factgrid.de/entity/Q750599,Karoline Lemke,Weibliches Geschlecht,0000-0002-1604-672X
https://database.factgrid.de/entity/Q533641,Anna-Lena Körfer,Weibliches Geschlecht,0000-0002-1644-5042
https://database.factgrid.de/entity/Q499855,Tabea Tietz,Weibliches Geschlecht,0000-0002-1648-1684
https://database.factgrid.de/entity/Q989334,Johanna Eigner,Weibliches Geschlecht,0000-0002-1672-9555
https://database.factgrid.de/entity/Q396680,Sibylle Söring,Weibliches Geschlecht,0000-0002-1698-3289
https://database.factgrid.de/entity/Q396414,Marie Flüh,Weibliches Geschlecht,0000-0002-1707-284X
https://database.factgrid.de/entity/Q396670,Lisa Dieckmann,Weibliches Geschlecht,0000-0002-1708-7371
https://database.factgrid.de/entity/Q396804,Georg Vogeler,Männliches Geschlecht,0000-0002-1726-1712
https://database.factgrid.de/entity/Q398690,Katharina Pektor,Weibliches Geschlecht,0000-0002-1726-3187
https://database.factgrid.de/entity/Q877941,Susanne Al-Eryānī,Weibliches Geschlecht,0000-0002-1741-1645
https://database.factgrid.de/entity/Q397748,Simon Donig,Männliches Geschlecht,0000-0002-1741-466X
https://database.factgrid.de/entity/Q396614,Thorsten Halling,Männliches Geschlecht,0000-0002-1743-1611
https://database.factgrid.de/entity/Q398403,Christian Thomas,Männliches Geschlecht,0000-0002-1761-0222
https://database.factgrid.de/entity/Q396752,Malte Dreyer,Männliches Geschlecht,0000-0002-1775-8622
https://database.factgrid.de/entity/Q396491,Christian Reul,Männliches Geschlecht,0000-0002-1776-1469
https://database.factgrid.de/entity/Q398865,Christian Riepl,Männliches Geschlecht,0000-0002-1776-1469
https://database.factgrid.de/entity/Q989335,Philipp Tögel,Männliches Geschlecht,0000-0002-1791-0268
https://database.factgrid.de/entity/Q396550,Alejandro Fábregas Tejeda,Männliches Geschlecht,0000-0002-1797-5467
https://database.factgrid.de/entity/Q989336,Daniil Skorinkin,Männliches Geschlecht,0000-0002-1845-9974
https://database.factgrid.de/entity/Q396703,Julia Röttgermann,Weibliches Geschlecht,0000-0002-1918-8117
https://database.factgrid.de/entity/Q396741,Anja Grebe,Weibliches Geschlecht,0000-0002-1926-3623
https://database.factgrid.de/entity/Q989337,Sarah-Mai Dang,Weibliches Geschlecht,0000-0002-1960-247X
https://database.factgrid.de/entity/Q989338,Elena Suárez Cronauer,Weibliches Geschlecht,0000-0002-2008-4139
https://database.factgrid.de/entity/Q396702,Katharina Erler-Fridgen,Weibliches Geschlecht,0000-0002-2061-2974
https://database.factgrid.de/entity/Q397410,Tobias Hodel,Männliches Geschlecht,0000-0002-2071-6407
https://database.factgrid.de/entity/Q396677,Felix Ernst,Männliches Geschlecht,0000-0002-2102-4170
https://database.factgrid.de/entity/Q989339,Pascal Hein,Männliches Geschlecht,0000-0002-2138-3069
