author,authorLabel,pubCount
https://database.factgrid.de/entity/Q397898,Hanna Hedeland,4
https://database.factgrid.de/entity/Q397752,Bernhard Bermeitinger,4
https://database.factgrid.de/entity/Q397910,Armin Hoenen,4
https://database.factgrid.de/entity/Q397924,Christopher Kittel,4
https://database.factgrid.de/entity/Q397925,Cordula Meißner,4
https://database.factgrid.de/entity/Q397926,Franziska Wallner,4
https://database.factgrid.de/entity/Q396443,Daniele Guido,4
https://database.factgrid.de/entity/Q396658,Stephan Kurz,4
https://database.factgrid.de/entity/Q396664,Sascha Grabsch,4
https://database.factgrid.de/entity/Q397490,Leif Scheuermann,4
https://database.factgrid.de/entity/Q396752,Malte Dreyer,4
https://database.factgrid.de/entity/Q396761,Anne Purschwitz,4
https://database.factgrid.de/entity/Q397526,Kristina Richts-Matthaei,4
https://database.factgrid.de/entity/Q397858,Michaela Geierhos,4
https://database.factgrid.de/entity/Q397590,Jürgen Hermes,4
https://database.factgrid.de/entity/Q397598,Uwe Breitenbücher,4
https://database.factgrid.de/entity/Q396699,Maria Hinzmann,4
https://database.factgrid.de/entity/Q396701,Anne Klee,4
https://database.factgrid.de/entity/Q396703,Julia Röttgermann,4
https://database.factgrid.de/entity/Q396565,Matthias Springstein,4
https://database.factgrid.de/entity/Q398061,Simone Kronenwett,4
https://database.factgrid.de/entity/Q398069,Daniel Bruder,4
https://database.factgrid.de/entity/Q397760,Elisabeth Burr,4
https://database.factgrid.de/entity/Q398081,Robert Jäschke,4
https://database.factgrid.de/entity/Q397956,Friedrich Dimpel,4
https://database.factgrid.de/entity/Q248829,Joëlle Weis,4
https://database.factgrid.de/entity/Q396712,Daniel Jettka,4
https://database.factgrid.de/entity/Q396716,Jan Sebastian Klaes,4
https://database.factgrid.de/entity/Q397946,Katharina Krüger,4
https://database.factgrid.de/entity/Q396717,Lou Klappenbach,4
https://database.factgrid.de/entity/Q396499,Simone Winko,4
https://database.factgrid.de/entity/Q396719,Merten Kröncke,4
https://database.factgrid.de/entity/Q397971,Stephan Druskat,4
https://database.factgrid.de/entity/Q397981,Alexander Dunst,4
https://database.factgrid.de/entity/Q398009,Katrin Glinka,4
